Year,Country,Value
2003,Ukraine,980
2004,Ukraine,950
2005,Ukraine,910
2006,Ukraine,890
2007,Ukraine,870
2008,Ukraine,850
2009,Ukraine,800
2010,Ukraine,780
2011,Ukraine,760
2012,Ukraine,740
2013,Ukraine,720
2014,Ukraine,700
2015,Ukraine,690
2016,Ukraine,670
2017,Ukraine,650
2018,Ukraine,630
2019,Ukraine,620
2020,Ukraine,600
2021,Ukraine,580
2022,Ukraine,560
2003,United States,1300
2004,United States,1280
2005,United States,1260
2006,United States,1240
2007,United States,1220
2008,United States,1200
2009,United States,1180
2010,United States,1160
2011,United States,1140
2012,United States,1120
2013,United States,1100
2014,United States,1080
2015,United States,1060
2016,United States,1040
2017,United States,1020
2018,United States,1000
2019,United States,980
2020,United States,960
2021,United States,940
2022,United States,920
